,stationName,uniqueId,lat,lon
7246,East Taunton,place-NBM-0374,41.867857,-71.061106
7247,East Taunton,place-NBM-0374,41.868221,-71.061323
7285,Pawtucket/Central Falls,place-NEC-1891,41.87849,-71.392761
7286,Pawtucket/Central Falls,place-NEC-1891,41.878566,-71.391797
7287,Pawtucket/Central Falls,place-NEC-1891,41.878974,-71.391064
7392,Newtonville,place-WML-0081,42.352499,-71.202209
7393,Newtonville,place-WML-0081,42.351356,-71.20701
7398,West Newton,place-WML-0091,42.347974,-71.228818
7399,West Newton,place-WML-0091,42.347664,-71.232233
7404,Auburndale,place-WML-0102,42.346332,-71.246948
7405,Auburndale,place-WML-0102,42.345139,-71.252126
7526,Alewife,place-alfcl,42.395862,-71.140929
7527,Alewife,place-alfcl,42.395753,-71.141256
7528,Alewife,place-alfcl,42.394893,-71.141516
7529,Alewife,place-alfcl,42.395643,-71.141275
7530,Alewife,place-alfcl,42.39606,-71.139575
7531,Alewife,place-alfcl,42.395504,-71.142506
7621,Amory Street,place-amory,42.350845,-71.113863
7622,Amory Street,place-amory,42.351054,-71.115613
7623,Amory Street,place-amory,42.350922,-71.113846
7624,Amory Street,place-amory,42.351138,-71.115595
7629,Andrew,place-andrw,42.330164,-71.057605
7630,Andrew,place-andrw,42.330017,-71.057309
7631,Andrew,place-andrw,42.330017,-71.057684
7632,Andrew,place-andrw,42.330004,-71.057863
7666,Airport,place-aport,42.374553,-71.030306
7667,Airport,place-aport,42.373984,-71.030031
7699,Aquarium,place-aqucl,42.359791,-71.051631
7700,Aquarium,place-aqucl,42.359861,-71.051243
7701,Aquarium,place-aqucl,42.359534,-71.053183
7702,Aquarium,place-aqucl,42.359331,-71.053039
7747,Arlington,place-armnl,42.351738,-71.070509
7748,Arlington,place-armnl,42.351694,-71.070686
7749,Arlington,place-armnl,42.351796,-71.07128
7750,Arlington,place-armnl,42.352,-71.070864
7779,Ashmont,place-asmnl,42.283765,-71.063468
7780,Ashmont,place-asmnl,42.283928,-71.063598
7781,Ashmont,place-asmnl,42.285204,-71.064223
7782,Ashmont,place-asmnl,42.283587,-71.062983
7783,Ashmont,place-asmnl,42.284449,-71.063865
7813,Assembly,place-astao,42.393312,-71.077661
7814,Assembly,place-astao,42.392164,-71.077559
7842,Babcock Street,place-babck,42.351424,-71.118712
7843,Babcock Street,place-babck,42.351719,-71.121123
7844,Babcock Street,place-babck,42.35151,-71.118695
7845,Babcock Street,place-babck,42.351797,-71.121103
7849,Ball Square,place-balsq,42.399891,-71.111125
7850,Ball Square,place-balsq,42.399533,-71.110737
7868,Back Bay,place-bbsta,42.347654,-71.074699
7869,Back Bay,place-bbsta,42.347445,-71.07467
7870,Back Bay,place-bbsta,42.34754,-71.07341
7871,Back Bay,place-bbsta,42.347552,-71.072937
7872,Back Bay,place-bbsta,42.347471,-71.07305
7873,Back Bay,place-bbsta,42.347584,-71.0759
7874,Back Bay,place-bbsta,42.347348,-71.075791
7875,Back Bay,place-bbsta,42.347572,-71.076228
7876,Back Bay,place-bbsta,42.347684,-71.075054
7877,Back Bay,place-bbsta,42.347273,-71.076565
7934,Beaconsfield,place-bcnfd,42.335788,-71.13993
7935,Beaconsfield,place-bcnfd,42.335555,-71.13997
7936,Beaconsfield,place-bcnfd,42.336053,-71.141404
7937,Beaconsfield,place-bcnfd,42.335845,-71.14042
7946,Bellingham Square,place-belsq,42.395667,-71.034627
7947,Bellingham Square,place-belsq,42.395527,-71.034574
7948,Bellingham Square,place-belsq,42.395247,-71.033173
7958,Beachmont,place-bmmnl,42.397551,-70.992358
7979,Bowdoin,place-bomnl,42.36135,-71.061971
7997,Boylston,place-boyls,42.352531,-71.064685
7998,Boylston,place-boyls,42.353214,-71.064546
8008,Broadway,place-brdwy,42.34256,-71.056944
8009,Broadway,place-brdwy,42.342962,-71.057389
8028,Brookline Hills,place-brkhl,42.331446,-71.127064
8029,Brookline Hills,place-brkhl,42.331375,-71.126612
8042,Braintree,place-brntn,42.207352,-71.001361
8043,Braintree,place-brntn,42.207528,-71.001339
8072,Butler,place-butlr,42.272115,-71.062677
