,stationName,uniqueId,lat,lon
0,103rd,103rdElectric,41.707308,-87.607207
1,Washington Heights,Washington HeightsRock Island,41.705015,-87.656271
2,Stewart Ridge,Stewart RidgeElectric,41.674335,-87.632048
3,Park Ridge,Park RidgeUP-Northwest,42.010112,-87.831887
4,Park Ridge,Park RidgeUP-Northwest,42.010214,-87.831501
5,Park Ridge,Park RidgeUP-Northwest,42.010973,-87.833259
6,Edison Park,Edison ParkUP-Northwest,42.001981,-87.817149
7,Edison Park,Edison ParkUP-Northwest,42.001902,-87.817229
8,Edison Park,Edison ParkUP-Northwest,42.00262,-87.81794
9,Healy,HealyMD-North,41.924607,-87.727883
10,Western,WesternBNSF,41.857955,-87.685605
11,35th/Lou Jones/Bronzeville,35th/Lou Jones/BronzevilleRock Island,41.831094,-87.629154
12,35th/Lou Jones/Bronzeville,35th/Lou Jones/BronzevilleRock Island,41.831078,-87.629708
13,35th/Lou Jones/Bronzeville,35th/Lou Jones/BronzevilleRock Island,41.832686,-87.629316
14,Auburn/Gresham,Auburn/GreshamRock Island,41.750772,-87.639597
15,Auburn/Gresham,Auburn/GreshamRock Island,41.750744,-87.639098
16,Gresham,GreshamRock Island,41.736243,-87.644792
17,Gresham,GreshamRock Island,41.73792,-87.643991
18,Gresham,GreshamRock Island,41.737898,-87.644369
19,Museum Campus,Museum CampusElectric,41.869395,-87.621685
20,Union Station,"Union StationMD-West, MD-North, NCS, BNSF, Heritage, SWS",41.878153,-87.638637
21,18th Street,18th StreetElectric,41.858003,-87.617944
22,27th Street,27th StreetElectric,41.844573,-87.613974
23,47th Street,47th StreetElectric,41.8098,-87.591376
24,51st/53rd,51st/53rdElectric,41.802411,-87.587369
25,51st/53rd,51st/53rdElectric,41.802379,-87.587514
26,51st/53rd,51st/53rdElectric,41.799693,-87.586897
27,55th-56th-57th,"55th-56th-57thElectric, South Shore",41.79513,-87.587219
28,Van Buren Street,"Van Buren StreetElectric, South Shore",41.876987,-87.623919
29,Van Buren Street,"Van Buren StreetElectric, South Shore",41.878195,-87.622961
30,Van Buren Street,"Van Buren StreetElectric, South Shore",41.878147,-87.624464
31,Van Buren Street,"Van Buren StreetElectric, South Shore",41.878408,-87.624459
32,Museum Campus,Museum CampusElectric,41.869399,-87.621996
33,Rogers Park,Rogers ParkUP-North,42.009419,-87.6754
34,Rogers Park,Rogers ParkUP-North,42.009058,-87.675458
35,Rogers Park,Rogers ParkUP-North,42.009045,-87.675618
36,Rogers Park,Rogers ParkUP-North,42.010094,-87.675634
37,Rogers Park,Rogers ParkUP-North,42.010095,-87.675492
38,Peterson Avenue,Peterson AvenueUP-North,41.99092,-87.675158
39,Jefferson Park,Jefferson ParkUP-Northwest,41.970256,-87.761587
40,Ravenswood,RavenswoodUP-North,41.967125,-87.674283
41,Ravenswood,RavenswoodUP-North,41.967133,-87.674509
42,Clybourn,"ClybournUP-North, UP-Northwest",41.917531,-87.668546
43,Clybourn,"ClybournUP-North, UP-Northwest",41.917326,-87.667945
44,Clybourn,"ClybournUP-North, UP-Northwest",41.916797,-87.668031
45,Irving Park,Irving ParkUP-Northwest,41.952336,-87.729896
46,Irving Park,Irving ParkUP-Northwest,41.952996,-87.731048
47,Irving Park,Irving ParkUP-Northwest,41.95349,-87.731241
48,Jefferson Park,Jefferson ParkUP-Northwest,41.971773,-87.763445
