,stationName,uniqueId,lat,lon
323,Caltrain 4th & King,mtc:caltrain-4th-&-king,37.77653,-122.39467
324,Caltrain 4th & King,mtc:caltrain-4th-&-king,37.77677,-122.39504
342,Caltrain 4th & King,mtc:caltrain-4th-&-king,37.77674,-122.39475
343,Caltrain 4th & King,mtc:caltrain-4th-&-king,37.77634,-122.39455
344,Caltrain 4th & King,mtc:caltrain-4th-&-king,37.77644,-122.39468
348,San Francisco Ferry Terminal,mtc:san-francisco-ferry-terminal,37.79537,-122.39373
355,El Cerrito Del Norte BART,mtc:el-cerrito-del-norte-bart,37.92539,-122.31696
367,El Cerrito Del Norte BART,mtc:el-cerrito-del-norte-bart,37.92531,-122.31714
380,Walnut Creek BART,mtc:walnut-creek-bart,37.90541,-122.06768
381,Walnut Creek BART,mtc:walnut-creek-bart,37.90535,-122.06749
382,Walnut Creek BART,mtc:walnut-creek-bart,37.90572,-122.06739
459,Vallejo Ferry Terminal,mtc:vallejo-ferry-terminal,38.10023,-122.2624
461,Vallejo Ferry Terminal,mtc:vallejo-ferry-terminal,38.10008,-122.26252
493,Palo Alto Station,mtc:palo-alto-station,37.44382,-122.16566
495,Palo Alto Station,mtc:palo-alto-station,37.44309,-122.16445
496,Palo Alto Station,mtc:palo-alto-station,37.4435,-122.16536
501,Palo Alto Station,mtc:palo-alto-station,37.44365,-122.16462
502,Palo Alto Station,mtc:palo-alto-station,37.4438,-122.16501
503,Palo Alto Station,mtc:palo-alto-station,37.44297,-122.16378
504,Palo Alto Station,mtc:palo-alto-station,37.44323,-122.16421
509,San Rafael Transit Center,mtc:san-rafael-transit-center,37.97079,-122.52331
510,San Rafael Transit Center,mtc:san-rafael-transit-center,37.9707,-122.52248
511,San Rafael Transit Center,mtc:san-rafael-transit-center,37.97146,-122.52314
512,San Rafael Transit Center,mtc:san-rafael-transit-center,37.97137,-122.52237
513,San Rafael Transit Center,mtc:san-rafael-transit-center,37.97236,-122.5227
514,San Rafael Transit Center,mtc:san-rafael-transit-center,37.97234,-122.52255
515,San Rafael Transit Center,mtc:san-rafael-transit-center,37.97161,-122.52291
516,San Rafael Transit Center,mtc:san-rafael-transit-center,37.9715,-122.52232
523,Millbrae BART,mtc:millbrae-bart,37.59978,-122.38676
544,Palo Alto Station,mtc:palo-alto-station,37.4428,-122.1635
545,Palo Alto Station,mtc:palo-alto-station,37.4441,-122.16558
566,Millbrae BART,mtc:millbrae-bart,37.60034,-122.38643
567,Millbrae BART,mtc:millbrae-bart,37.60052,-122.38665
636,Oakland Coliseum BART,mtc:oakland-coliseum-bart,37.754,-122.19679
656,Santa Rosa Transit Mall,mtc:santa-rosa-transit-mall,38.43905,-122.71317
657,Santa Rosa Transit Mall,mtc:santa-rosa-transit-mall,38.43889,-122.71306
658,Santa Rosa Transit Mall,mtc:santa-rosa-transit-mall,38.43842,-122.71459
659,Santa Rosa Transit Mall,mtc:santa-rosa-transit-mall,38.43824,-122.71447
666,Fairfield Transportation Center,mtc:fairfield-transportation-center,38.24844,-122.06881
667,Fairfield Transportation Center,mtc:fairfield-transportation-center,38.2483,-122.06852
671,12th St Oakland City Center BART,mtc:12th-st-oakland-city-center-bart,37.80454,-122.2713
752,19TH St Oakland BART,mtc:19th-st-oakland-bart,37.80881,-122.26854
825,Embarcadero BART,mtc:embarcadero-bart,37.79368,-122.39603
826,Embarcadero BART,mtc:embarcadero-bart,37.79355,-122.39584
827,Embarcadero BART,mtc:embarcadero-bart,37.7929,-122.39701
832,Embarcadero BART,mtc:embarcadero-bart,37.79317,-122.39676
928,Petaluma Transit Mall,mtc:petaluma-transit-mall,38.2359,-122.63513
929,Petaluma Transit Mall,mtc:petaluma-transit-mall,38.23685,-122.63686
931,Great America,mtc:great-america,37.40757,-121.96753
932,Great America,mtc:great-america,37.40643,-121.96685
945,Montgomery BART,mtc:montgomery-bart,37.7901,-122.40056
947,Montgomery BART,mtc:montgomery-bart,37.78941,-122.40105
994,SFO,mtc:sfo,37.61652,-122.39037
1025,Mountain View Station,mtc:mountain-view-station,37.3953,-122.0777
1029,Mountain View Station,mtc:mountain-view-station,37.39448,-122.07629
