,stationName,uniqueId,lat,lon
0,Battersea Power Station Underground Station,940GZZBPSUST,51.47933,-0.14387
1,Battersea Power Station Underground Station,940GZZBPSUST,51.47933,-0.14387
2,Battersea Power Station Underground Station,940GZZBPSUST,51.47933,-0.14387
3,Battersea Power Station Underground Station,940GZZBPSUST,51.47975,-0.14238
4,Acton Town Underground Station,940GZZLUACT,51.50301,-0.28042
5,Acton Town Underground Station,940GZZLUACT,51.50324,-0.27991
6,Archway Underground Station,940GZZLUACY,51.56568,-0.13493
7,Archway Underground Station,940GZZLUACY,51.56524,-0.13476
8,Archway Underground Station,940GZZLUACY,51.56491,-0.13502
9,Aldgate East Underground Station,940GZZLUADE,51.5153,-0.07208
10,Aldgate East Underground Station,940GZZLUADE,51.51472,-0.07088
11,Aldgate East Underground Station,940GZZLUADE,51.51513,-0.07172
12,Aldgate East Underground Station,940GZZLUADE,51.51511,-0.07182
13,Aldgate East Underground Station,940GZZLUADE,51.5158,-0.06997
14,Aldgate East Underground Station,940GZZLUADE,51.51602,-0.07002
15,Angel Underground Station,940GZZLUAGL,51.53184,-0.10635
16,Angel Underground Station,940GZZLUAGL,51.53279,-0.10599
17,Aldgate Underground Station,940GZZLUALD,51.51405,-0.07528
18,Alperton Underground Station,940GZZLUALP,51.54063,-0.29913
19,Amersham Underground Station,940GZZLUAMS,51.674206,-0.607362
20,Arnos Grove Underground Station,940GZZLUASG,51.61606,-0.1334
21,Arsenal Underground Station,940GZZLUASL,51.5584,-0.10568
22,Bromley-by-Bow Underground Station,940GZZLUBBB,51.52473,-0.01144
23,Bromley-by-Bow Underground Station,940GZZLUBBB,51.52478,-0.01107
24,Barbican Underground Station,940GZZLUBBN,51.52031,-0.09753
25,Bounds Green Underground Station,940GZZLUBDS,51.60693,-0.12456
26,Bounds Green Underground Station,940GZZLUBDS,51.60693,-0.1243
27,Becontree Underground Station,940GZZLUBEC,51.5404,0.12751
28,Barkingside Underground Station,940GZZLUBKE,51.58582,0.08836
29,Bethnal Green Underground Station,940GZZLUBLG,51.52732,-0.05527
30,Bethnal Green Underground Station,940GZZLUBLG,51.52781,-0.05545
31,Bethnal Green Underground Station,940GZZLUBLG,51.52717,-0.05544
32,Bethnal Green Underground Station,940GZZLUBLG,51.52739,-0.0556
33,Balham Underground Station,940GZZLUBLM,51.44323,-0.15294
34,Balham Underground Station,940GZZLUBLM,51.44328,-0.15307
35,Balham Underground Station,940GZZLUBLM,51.44351,-0.15319
36,Balham Underground Station,940GZZLUBLM,51.44324,-0.15222
37,Bermondsey Underground Station,940GZZLUBMY,51.49814,-0.06363
38,Bond Street Underground Station,940GZZLUBND,51.51342,-0.14884
39,Bond Street Underground Station,940GZZLUBND,51.51408,-0.1446
40,Bond Street Underground Station,940GZZLUBND,51.51452,-0.14914
41,Bond Street Underground Station,940GZZLUBND,51.51439,-0.1489
42,Bond Street Underground Station,940GZZLUBND,51.51436,-0.14933
43,Bond Street Underground Station,940GZZLUBND,51.51378,-0.14993
44,Bond Street Underground Station,940GZZLUBND,51.51404,-0.1491
45,Bond Street Underground Station,940GZZLUBND,51.51433,-0.14966
46,Bond Street Underground Station,940GZZLUBND,51.51441,-0.14735
47,Borough Underground Station,940GZZLUBOR,51.50123,-0.0934
48,Borough Underground Station,940GZZLUBOR,51.50028,-0.09218
49,Boston Manor Underground Station,940GZZLUBOS,51.49585,-0.32446
50,Barons Court Underground Station,940GZZLUBSC,51.49037,-0.21355
51,Baker Street Underground Station,940GZZLUBST,51.52246,-0.15695
52,Baker Street Underground Station,940GZZLUBST,51.52222,-0.15628
53,Baker Street Underground Station,940GZZLUBST,51.52268,-0.1577
54,Baker Street Underground Station,940GZZLUBST,51.52232,-0.15738
55,Burnt Oak Underground Station,940GZZLUBTK,51.60259,-0.26398
56,Brent Cross Underground Station,940GZZLUBTX,51.57707,-0.21336
57,Brent Cross Underground Station,940GZZLUBTX,51.57674,-0.21319
58,Bow Road Underground Station,940GZZLUBWR,51.52712,-0.02501
59,Bayswater Underground Station,940GZZLUBWT,51.51239,-0.18769
60,Brixton Underground Station,940GZZLUBXN,51.46265,-0.11496
61,Belsize Park Underground Station,940GZZLUBZP,51.55041,-0.16447
62,Chalfont & Latimer Underground Station,940GZZLUCAL,51.667915,-0.560616
63,Chalfont & Latimer Underground Station,940GZZLUCAL,51.668122,-0.560624
64,Caledonian Road Underground Station,940GZZLUCAR,51.54857,-0.11812
65,Chalk Farm Underground Station,940GZZLUCFM,51.54395,-0.15351
66,Covent Garden Underground Station,940GZZLUCGN,51.51307,-0.12423
67,Covent Garden Underground Station,940GZZLUCGN,51.51302,-0.12401
68,Chancery Lane Underground Station,940GZZLUCHL,51.51811,-0.1115
69,Chancery Lane Underground Station,940GZZLUCHL,51.51823,-0.11147
70,Chancery Lane Underground Station,940GZZLUCHL,51.51818,-0.11111
71,Charing Cross Underground Station,940GZZLUCHX,51.50812,-0.12497
72,Charing Cross Underground Station,940GZZLUCHX,51.50806,-0.12422
73,Charing Cross Underground Station,940GZZLUCHX,51.50824,-0.12512
74,Charing Cross Underground Station,940GZZLUCHX,51.50857,-0.12469
75,Charing Cross Underground Station,940GZZLUCHX,51.50894,-0.12484
76,Charing Cross Underground Station,940GZZLUCHX,51.50844,-0.12587
77,Charing Cross Underground Station,940GZZLUCHX,51.50933,-0.12466
78,Charing Cross Underground Station,940GZZLUCHX,51.50868,-0.12489
79,Charing Cross Underground Station,940GZZLUCHX,51.50819,-0.12562
80,Charing Cross Underground Station,940GZZLUCHX,51.50785,-0.12716
81,Charing Cross Underground Station,940GZZLUCHX,51.50769,-0.12745
82,Charing Cross Underground Station,940GZZLUCHX,51.50902,-0.12581
83,Charing Cross Underground Station,940GZZLUCHX,51.50731,-0.12841
84,Charing Cross Underground Station,940GZZLUCHX,51.50779,-0.12709
85,Cockfosters Underground Station,940GZZLUCKS,51.65186,-0.14975
86,Cockfosters Underground Station,940GZZLUCKS,51.65147,-0.1501
87,Cockfosters Underground Station,940GZZLUCKS,51.65155,-0.14981
88,Cockfosters Underground Station,940GZZLUCKS,51.6513,-0.14931
89,Colindale Underground Station,940GZZLUCND,51.59533,-0.24992
90,Clapham Common Underground Station,940GZZLUCPC,51.46181,-0.13847
91,Clapham Common Underground Station,940GZZLUCPC,51.46159,-0.13819
92,Clapham Common Underground Station,940GZZLUCPC,51.4617,-0.13833
93,Canons Park Underground Station,940GZZLUCPK,51.60756,-0.29444
94,Canons Park Underground Station,940GZZLUCPK,51.60754,-0.29476
95,Clapham North Underground Station,940GZZLUCPN,51.46518,-0.12955
96,Clapham South Underground Station,940GZZLUCPS,51.4529,-0.14767
97,Colliers Wood Underground Station,940GZZLUCSD,51.41805,-0.17819
