,stationName,uniqueId,lat,lon
0,18th,18thPink Line,41.857849,-87.669144
1,35th/Archer,35th/ArcherOrange Line,41.829274,-87.680632
2,95th-Dan Ryan,95th-Dan RyanRed Line,41.722729,-87.62441
3,Adams/Wabash,"Adams/WabashBrown, Purple, Orange, Pink, Green Lines",41.879715,-87.625997
4,Addison,AddisonBlue Line,41.946604,-87.718406
5,Addison,AddisonRed Line,41.947364,-87.653738
6,Armitage,"ArmitageBrown, Purple Lines",41.918196,-87.652692
7,Ashland,"AshlandGreen, Pink Lines",41.88542,-87.665521
8,Ashland,"AshlandGreen, Pink Lines",41.885302,-87.665491
9,Ashland,"AshlandGreen, Pink Lines",41.885104,-87.666744
10,Ashland,"AshlandGreen, Pink Lines",41.885264,-87.666441
11,Ashland,"AshlandGreen, Pink Lines",41.885574,-87.66713
12,Ashland/63rd,Ashland/63rdGreen Line,41.778795,-87.663788
13,Ashland/63rd,Ashland/63rdGreen Line,41.778935,-87.664501
14,Austin,AustinGreen Line,41.887217,-87.774606
15,Austin,AustinBlue Line,41.871083,-87.779238
16,Belmont,BelmontBlue Line,41.939115,-87.712274
17,Chicago,ChicagoBlue Line,41.896357,-87.654992
18,Kedzie,KedzieBlue Line,41.874111,-87.710708
19,Kedzie,KedzieGreen Line,41.884341,-87.706963
20,Kedzie,KedzieGreen Line,41.884266,-87.706108
21,Kedzie,KedzieGreen Line,41.884076,-87.70614
22,Kedzie,KedzieGreen Line,41.884427,-87.705982
23,Kedzie,KedzieBrown Line,41.966107,-87.708527
24,Kimball,KimballBrown Line,41.968325,-87.712926
25,Kimball,KimballBrown Line,41.968235,-87.713255
26,Lake,LakeRed Line,41.885013,-87.627789
27,Lake,LakeRed Line,41.885017,-87.628068
28,Laramie,LaramieGreen Line,41.886896,-87.755227
29,Laramie,LaramieGreen Line,41.886896,-87.755407
30,Laramie,LaramieGreen Line,41.88749,-87.755415
31,Laramie,LaramieGreen Line,41.887067,-87.75522
32,Laramie,LaramieGreen Line,41.887223,-87.754624
33,Laramie,LaramieGreen Line,41.887083,-87.754648
34,LaSalle,LaSalleBlue Line,41.875767,-87.63136
35,LaSalle,LaSalleBlue Line,41.875386,-87.63259
36,LaSalle/Van Buren,"LaSalle/Van BurenBrown, Purple, Orange, Pink, Green Lines",41.876834,-87.631438
37,LaSalle/Van Buren,"LaSalle/Van BurenBrown, Purple, Orange, Pink, Green Lines",41.876928,-87.631445
38,LaSalle/Van Buren,"LaSalle/Van BurenBrown, Purple, Orange, Pink, Green Lines",41.876911,-87.632173
39,Lawrence,LawrenceRed Line,41.968958,-87.658513
40,Logan Square,Logan SquareBlue Line,41.929148,-87.707921
41,Logan Square,Logan SquareBlue Line,41.930896,-87.710757
42,Logan Square,Logan SquareBlue Line,41.929713,-87.70772
43,Loyola,LoyolaRed Line,42.001437,-87.661285
44,Main,MainPurple Line,42.033363,-87.67942
45,Merchandise Mart,"Merchandise MartBrown, Purple Lines",41.889581,-87.633972
46,Midway,MidwayOrange Line,41.786649,-87.738667
47,Monroe,MonroeBlue Line,41.879964,-87.629284
48,Monroe,MonroeBlue Line,41.879924,-87.629466
49,Monroe,MonroeBlue Line,41.880234,-87.629279
50,Monroe,MonroeBlue Line,41.880212,-87.629472
51,Monroe,MonroeBlue Line,41.881242,-87.629517
52,Monroe,MonroeBlue Line,41.881236,-87.629271
53,Monroe,MonroeBlue Line,41.881474,-87.629279
54,Montrose,MontroseBrown Line,41.961644,-87.675161
55,Montrose,MontroseBrown Line,41.961401,-87.675136
56,Montrose,MontroseBlue Line,41.960892,-87.742929
57,Montrose,MontroseBlue Line,41.960669,-87.742653
58,Morgan,"MorganGreen, Pink Lines",41.885641,-87.652077
59,Morgan,"MorganGreen, Pink Lines",41.885526,-87.651299
60,Morgan,"MorganGreen, Pink Lines",41.885685,-87.651313
61,Morse,MorseRed Line,42.008003,-87.665952
62,North and Clybourn,North and ClybournRed Line,41.910723,-87.648974
63,Noyes,NoyesPurple Line,42.058633,-87.683451
64,Oak Park,Oak ParkGreen Line,41.886965,-87.794251
65,Oakton,OaktonYellow Line,42.026451,-87.747358
