,stationName,uniqueId,lat,lon
2,Downtown Long Beach Station,80101S,33.76805,-118.1935
3,Downtown Long Beach Station,80101S,33.76804,-118.1925
6,Pacific Ave Station,80102S,33.77186,-118.19373
7,Pacific Ave Station,80102S,33.77282,-118.19373
10,Anaheim Street Station,80105S,33.78135,-118.18939
11,Anaheim Street Station,80105S,33.78245,-118.18937
14,Pacific Coast Hwy Station,80106S,33.78971,-118.18937
17,Willow Street Station,80107S,33.8065,-118.18957
20,Wardlow Station,80108S,33.82027,-118.19636
21,Wardlow Station,80108S,33.81918,-118.19563
24,Del Amo Station,80109S,33.84773,-118.2108
27,Artesia Station,80110S,33.8766,-118.22307
30,Compton Station,80111S,33.89812,-118.22416
35,103rd Street / Watts Towers Station,80113S,33.94304,-118.24315
38,Firestone Station,80114S,33.95971,-118.24318
39,Firestone Station,80114S,33.95948,-118.24318
42,Florence Station,80115S,33.97461,-118.24326
45,Slauson Station,80116S,33.98909,-118.24345
46,Slauson Station,80116S,33.98835,-118.24334
49,Vernon Station,80117S,34.00378,-118.24329
52,Washington Station,80118S,34.02047,-118.24309
55,San Pedro Street Station,80119S,34.02714,-118.2562
58,Grand / LATTC Station,80120S,34.03276,-118.26847
60,Grand / LATTC Station,80120S,34.03333,-118.26976
62,Pico Station,80121S,34.04104,-118.26573
63,Pico Station,80121S,34.04033,-118.26637
66,7th Street / Metro Center Station,80122S,34.04916,-118.25933
67,7th Street / Metro Center Station,80122S,34.04936,-118.25966
68,7th Street / Metro Center Station,80122S,34.0489,-118.25839
69,7th Street / Metro Center Station,80122S,34.0487,-118.25856
70,7th Street / Metro Center Station,80122S,34.048113,-118.258228
71,7th Street / Metro Center Station,80122S,34.048127,-118.25831
74,LATTC / Ortho Institute Station,80123S,34.03011,-118.27303
75,LATTC / Ortho Institute Station,80123S,34.02849,-118.27391
78,Jefferson / USC Station,80124S,34.02142,-118.27849
79,Jefferson / USC Station,80124S,34.02147,-118.27856
82,Expo Park / USC Station,80125S,34.01818,-118.28647
83,Expo Park / USC Station,80125S,34.01828,-118.28647
86,Expo / Vermont Station,80126S,34.01819,-118.29024
87,Expo / Vermont Station,80126S,34.01819,-118.2916
88,Expo / Vermont Station,80126S,34.0183,-118.29173
91,Expo / Western Station,80127S,34.01828,-118.30874
92,Expo / Western Station,80127S,34.01838,-118.30905
95,Expo / Crenshaw E-Line Station,80128S,34.02252,-118.33528
