,stationName,uniqueId,lat,lon
0,Atlantic Av-Barclays Ctr,R31,40.683905,-73.978879
1,Atlantic Av-Barclays Ctr,R31,40.683805,-73.978487
2,Atlantic Av-Barclays Ctr,R31,40.683928,-73.978412
3,Union St,R32,40.6771544,-73.9834296
4,Union St,R32,40.6772958,-73.9833364
5,Union St,R32,40.677001,-73.983133
6,Union St,R32,40.677171,-73.98302
7,4 Av-9 St,R33,40.670538,-73.988778
8,4 Av-9 St,R33,40.6704052,-73.9884866
9,Prospect Av,R34,40.6652787,-73.9932544
10,Prospect Av,R34,40.6650684,-73.9930473
11,Prospect Av,R34,40.665299,-73.992729
12,25 St,R35,40.6605007,-73.998224
13,25 St,R35,40.660323,-73.997952
14,36 St,R36,40.65449,-74.004499
15,36 St,R36,40.6546909,-74.0043071
16,36 St,R36,40.654365,-74.004113
17,45 St,R39,40.6494326,-74.0097327
18,45 St,R39,40.6495617,-74.0096026
19,45 St,R39,40.6492747,-74.009461
20,45 St,R39,40.6494028,-74.0093232
21,53 St,R40,40.6446672,-74.014688
22,53 St,R40,40.6447641,-74.0145927
23,53 St,R40,40.6445032,-74.0144244
24,53 St,R40,40.644601,-74.014309
25,53 St,R40,40.6456266,-74.01369
26,59 St,R41,40.6406896,-74.0188637
27,59 St,R41,40.640491,-74.0185665
28,59 St,R41,40.6416248,-74.0178508
29,59 St,R41,40.6417413,-74.0177502
30,59 St,R41,40.6414668,-74.0175533
31,59 St,R41,40.6415691,-74.017435
32,Bay Ridge Av,R42,40.634827,-74.02358
33,Bay Ridge Av,R42,40.634768,-74.023339
34,Bay Ridge Av,R42,40.635484,-74.0233079
35,77 St,R43,40.6295183,-74.025749
36,77 St,R43,40.6294674,-74.0255076
37,86 St,R44,40.6226535,-74.0285564
38,86 St,R44,40.622583,-74.028315
39,86 St,R44,40.623498,-74.028204
40,86 St,R44,40.6302302,-74.0254577
41,86 St,R44,40.6225859,-74.0283617
42,86 St,R44,40.6224943,-74.0286163
43,Bay Ridge-95 St,R45,40.616021,-74.031383
44,Bay Ridge-95 St,R45,40.6162027,-74.031236
45,Bay Ridge-95 St,R45,40.6159342,-74.0308333
46,Bay Ridge-95 St,R45,40.617604,-74.0306828
47,Bay Ridge-95 St,R45,40.6173787,-74.0304053
48,21 St-Queensbridge,B04,40.7541656,-73.9425499
49,21 St-Queensbridge,B04,40.7543246,-73.9423416
50,21 St-Queensbridge,B04,40.7540129,-73.9422248
51,21 St-Queensbridge,B04,40.754262,-73.9419961
52,Roosevelt Island,B06,40.7590185,-73.9534576
53,Lexington Av/63 St,B08,40.7649678,-73.9666793
54,Lexington Av/63 St,B08,40.7647383,-73.9665531
55,Lexington Av/63 St,B08,40.764896,-73.966426
56,Lexington Av/63 St,B08,40.7641013,-73.9650414
57,Lexington Av/63 St,B08,40.7642064,-73.9649728
58,Lexington Av/63 St,B08,40.7638652,-73.964516
59,Lexington Av/63 St,B08,40.7641673,-73.9645234
60,57 St,B10,40.7634853,-73.9779774
61,57 St,B10,40.7633797,-73.9777271
62,57 St,B10,40.7638466,-73.977723
63,57 St,B10,40.764223,-73.977439
64,57 St,B10,40.763903,-73.977348
65,57 St,B10,40.7640108,-73.9772741
66,57 St,B10,40.7646549,-73.9771234
